Step,Train_Loss,Eval_Step,Eval_Loss,State_Loss,Action_Loss
0,2.118300199508667,1,2.4756312370300293,1.3614498376846313,1.114181399345398
1,2.385457992553711,501,0.8120229244232178,0.06805574148893356,0.7439671158790588
2,2.7670512199401855,1001,0.7380818128585815,0.0312943160533905,0.7067874073982239
3,2.358459711074829,1501,0.733811616897583,0.023380441591143608,0.7104312181472778
4,2.3772053718566895,2001,0.7239307165145874,0.019158968701958656,0.704771876335144
5,2.4016876220703125,2501,0.7090418338775635,0.017382074147462845,0.691659688949585
6,2.4278807640075684,3001,0.6739513874053955,0.015194241888821125,0.6587571501731873
7,2.598865032196045,3501,0.7000869512557983,0.013035088777542114,0.6870519518852234
8,2.1224117279052734,4001,0.6989790201187134,0.012432021088898182,0.686547040939331
9,2.548139810562134,4501,0.7092944383621216,0.010148143395781517,0.6991463303565979
10,2.51436710357666,5001,0.7095430493354797,0.008889268152415752,0.7006538510322571
11,2.3900444507598877,5501,0.6525127291679382,0.008515852503478527,0.6439968943595886
12,2.3296589851379395,6001,0.6796643733978271,0.006958334241062403,0.6727060079574585
13,2.1148359775543213,6501,0.6747358441352844,0.005659257993102074,0.669076681137085
14,2.2769548892974854,7001,0.6977564096450806,0.005055954679846764,0.6927005052566528
15,2.4758386611938477,7501,0.6650895476341248,0.004493155051022768,0.660596489906311
16,1.8455051183700562,8001,0.6830630302429199,0.004271525889635086,0.6787915825843811
17,1.5650564432144165,8501,0.6703141927719116,0.003866679733619094,0.6664474606513977
18,2.386414051055908,9001,0.6790618896484375,0.0036072891671210527,0.6754546165466309
19,2.1069579124450684,9501,0.6814001202583313,0.0036091399379074574,0.6777909994125366
20,1.9259862899780273,10001,0.6809515357017517,0.003388805314898491,0.6775627136230469
21,1.8589646816253662,10501,0.6777139902114868,0.0028603626415133476,0.6748536825180054
22,2.0707497596740723,11001,0.6675834655761719,0.0029677897691726685,0.6646156311035156
23,2.1753923892974854,11501,0.6630300879478455,0.002847919473424554,0.6601821780204773
24,2.008694887161255,12001,0.6789771318435669,0.0027893609367311,0.6761877536773682
25,1.9785892963409424,12501,0.6659063100814819,0.0024622040800750256,0.6634441614151001
