Step,Train_Loss,Eval_Step,Eval_Loss,State_Loss,Action_Loss
0,2.748836040496826,1,2.6511528491973877,1.4611499309539795,1.1900029182434082
1,2.569023609161377,501,1.0887837409973145,0.3412516713142395,0.747532069683075
2,2.511479377746582,1001,0.7113350033760071,0.07473815232515335,0.6365968585014343
3,2.8412513732910156,1501,0.5300129652023315,0.03997481241822243,0.49003806710243225
4,2.863154411315918,2001,0.320202112197876,0.03098081611096859,0.28922125697135925
5,3.2089364528656006,2501,0.19636018574237823,0.019919967278838158,0.17644022405147552
6,2.765718460083008,3001,0.15358656644821167,0.017253467813134193,0.13633307814598083
7,2.6577892303466797,3501,0.1369297206401825,0.01316530629992485,0.12376441806554794
8,2.4342269897460938,4001,0.11054494231939316,0.011455877684056759,0.09908905625343323
9,2.5004148483276367,4501,0.09143731743097305,0.010463598184287548,0.08097372949123383
10,2.7257118225097656,5001,0.10795453935861588,0.009530928917229176,0.09842362999916077
11,2.4537086486816406,5501,0.08717694878578186,0.007897828705608845,0.07927912473678589
12,2.6640584468841553,6001,0.07810359448194504,0.009045406244695187,0.06905818730592728
13,2.4849233627319336,6501,0.4384998381137848,0.008351295255124569,0.43014857172966003
14,3.2701754570007324,7001,0.33556079864501953,0.007760226726531982,0.32780057191848755
15,2.228468418121338,7501,0.10877608507871628,0.005357307381927967,0.10341878235340118
16,2.606015205383301,8001,0.06597258895635605,0.004845849703997374,0.06112673133611679
17,2.719146966934204,8501,0.0551997534930706,0.0038598221726715565,0.051339928060770035
18,2.468775510787964,9001,0.059356439858675,0.004095720127224922,0.05526071414351463
19,2.715689182281494,9501,0.06523144990205765,0.006118137389421463,0.05911329761147499
20,2.6767306327819824,10001,0.06721926480531693,0.007715628016740084,0.05950364097952843
21,2.270617723464966,10501,0.0698169693350792,0.0035701938904821873,0.06624677777290344
22,2.555490016937256,11001,0.06321509182453156,0.003135428996756673,0.0600796639919281
23,2.3971025943756104,11501,0.21839484572410583,0.003037267830222845,0.21535758674144745
24,2.818861484527588,12001,0.05962453782558441,0.0035389941185712814,0.05608554929494858
25,2.7502689361572266,12501,0.04847448319196701,0.0025497751776129007,0.04592470824718475
26,2.4650585651397705,13001,0.04738793522119522,0.004475627560168505,0.042912308126688004
27,2.8716018199920654,13501,0.05010945722460747,0.004525121301412582,0.045584339648485184
28,2.4377338886260986,14001,0.055933877825737,0.0024049195926636457,0.053528960794210434
29,2.4264936447143555,14501,0.22369350492954254,0.002790392842143774,0.22090309858322144
30,2.4755141735076904,15001,0.05170222371816635,0.002579319756478071,0.049122896045446396
31,2.8185691833496094,15501,0.05145646631717682,0.0021588990930467844,0.04929756000638008
32,2.3949978351593018,16001,0.05134941637516022,0.002205527387559414,0.04914388060569763
33,2.1778106689453125,16501,0.05506078898906708,0.00317040435038507,0.05189037695527077
34,2.6230411529541016,17001,0.06010543927550316,0.003619111143052578,0.056486330926418304
35,3.022017002105713,17501,0.045690760016441345,0.0026003161910921335,0.043090447783470154
36,2.493553876876831,18001,0.037788908928632736,0.002440635347738862,0.03534827008843422
37,2.3715922832489014,18501,0.39387649297714233,0.0016299178823828697,0.3922466039657593
38,2.4430899620056152,19001,0.04103119671344757,0.0036642299965023994,0.037366971373558044
39,2.494016170501709,19501,0.04401812702417374,0.0031618219800293446,0.04085630550980568
40,2.417734384536743,20001,0.0549185648560524,0.0017816569888964295,0.0531369149684906
41,2.455411434173584,20501,0.045392848551273346,0.0015506717609241605,0.04384217411279678
42,2.0268895626068115,21001,0.03977641090750694,0.001580547192133963,0.038195863366127014
43,2.26357364654541,21501,0.03696213662624359,0.0022723935544490814,0.03468974307179451
44,2.479564905166626,22001,0.04001397266983986,0.0015510300872847438,0.038462940603494644
